path,file,title,description,og_title,og_description,og_url,last_updated,notes
/,index.html,Facilitation & Strategy Consulting Brisbane | Macaulay Consulting,"Macaulay Consulting helps Queensland health and public sector organisations turn strategy into action through facilitation, co-design and culture programmes.",Facilitation & Strategy Consulting Brisbane | Macaulay Consulting,"Brisbane-based facilitation and strategy consulting for health and public sector organisations. Led by Caroline Macaulay.",https://consultcm.com.au,2026-05-15,og:image not yet set — add once OG image is created. Title 65 chars; description 158 chars.
/about,about.html,About Caroline Macaulay | Facilitator and Consultant Brisbane,"Caroline Macaulay is a Brisbane facilitator and strategy consultant with over a decade of experience in culture change across Queensland health and public sector organisations.",About Caroline Macaulay | Facilitator and Consultant Brisbane,"Caroline Macaulay: Brisbane-based facilitator and strategy consultant specialising in health and public sector organisations.",https://consultcm.com.au/about,2026-05-16,og:image not yet set. Title 62 chars; description 177 chars (still slightly long — Google may truncate at ~160).
/services,services.html,Services | Macaulay Consulting,"Facilitation, strategy, co-design, evaluation and culture work for organisations across health and human services, the community sector, government, legal aid and the private sector.  Based in Brisbane.",Services | Macaulay Consulting,Six areas of practice designed around your needs and context.,https://consultcm.com.au/services,2026-05-16,og:image not yet set. Title 34 chars; description 198 chars — slightly long, consider trimming.
/services/strategy-and-planning,services/strategy-and-planning.html,Strategic Planning Facilitation Brisbane | Macaulay Consulting,"Strategic planning facilitation for boards, executive teams and leadership groups.  Working with organisations across health and human services, the community sector, government, legal aid and the private sector.",Strategic Planning Facilitation Brisbane | Macaulay Consulting,Strategic planning facilitation for boards and leadership groups.,https://consultcm.com.au/services/strategy-and-planning,2026-05-16,og:image not yet set. Title 64 chars; description 211 chars — over 160 chars limit.
/services/co-design,services/co-design.html,Co-design Services Brisbane | Macaulay Consulting,"Human-centred co-design for services, programmes and strategies.  Grounded in the lived experience of the people the work is for.",Co-design Services Brisbane | Macaulay Consulting,Human-centred design processes grounded in real experience.,https://consultcm.com.au/services/co-design,2026-05-16,og:image not yet set. Title 49 chars; description 130 chars.
/services/facilitation,services/facilitation.html,Workshop and Event Facilitation Brisbane | Macaulay Consulting,"Workshop, meeting and event facilitation for boards, leadership teams, all-staff forums, stakeholder events and conferences.  Sector and subject agnostic.",Workshop and Event Facilitation Brisbane | Macaulay Consulting,Workshop and event facilitation that produces real outcomes.,https://consultcm.com.au/services/facilitation,2026-05-16,og:image not yet set. Title 62 chars; description 153 chars.
/services/evaluation-and-research,services/evaluation-and-research.html,Qualitative Evaluation and Research Brisbane | Macaulay Consulting,"Qualitative programme evaluation and research, bringing lived experience into evidence that informs decisions.  Working with health, human services, government, community, legal aid and private sector clients.",Qualitative Evaluation and Research Brisbane | Macaulay Consulting,Qualitative evaluation and research that captures what data alone cannot.,https://consultcm.com.au/services/evaluation-and-research,2026-05-16,og:image not yet set. Title 66 chars (at limit); description 208 chars — over 160 chars limit.
/services/culture,services/culture.html,Team Culture Work Brisbane | Macaulay Consulting,"Structured team culture work drawing on emotional culture research, neuro-leadership and psychological safety practice.  Home of the More Joy at Work programme.",Team Culture Work Brisbane | Macaulay Consulting,Structured team culture work for organisations that take their people seriously.,https://consultcm.com.au/services/culture,2026-05-16,og:image not yet set. Title 48 chars; description 160 chars (at limit).
/services/child-and-youth-work,services/child-and-youth-work.html,Child and Youth Engagement Specialist Brisbane | Macaulay Consulting,"Specialist facilitation, co-design and engagement with children, young people and the organisations that serve them.  Grounded in fifteen years of frontline practice.",Child and Youth Engagement Specialist Brisbane | Macaulay Consulting,Specialist engagement with children and young people.,https://consultcm.com.au/services/child-and-youth-work,2026-05-16,og:image not yet set. Title 67 chars (over 60); description 165 chars — marginally over limit.
/case-studies,case-studies.html,Case Studies | Macaulay Consulting Brisbane,"Examples of recent facilitation, strategy and culture work by Macaulay Consulting across Queensland's health and public sector.",Case Studies | Macaulay Consulting Brisbane,"Examples of recent facilitation, strategy and culture work by Macaulay Consulting across Queensland's health and public sector.",https://consultcm.com.au/case-studies,2026-05-15,og:image not yet set. Title 43 chars; description 133 chars.
/more-joy-at-work,more-joy-at-work.html,More Joy at Work | Team Culture Programme | Macaulay Consulting,"A practical, evidence-based team culture programme helping Queensland organisations build workplaces where people feel connected, energised and motivated.",More Joy at Work | Team Culture Programme | Macaulay Consulting,A programme for teams who want to feel better about the work they do together.,https://consultcm.com.au/more-joy-at-work,2026-05-15,og:image not yet set. Title 64 chars; description 157 chars; og:description short (good for social).
/faq,faq.html,Frequently Asked Questions | Macaulay Consulting,"Common questions about working with Macaulay Consulting — scoping engagements, pricing, co-design, facilitation, culture work and more.",Frequently Asked Questions | Macaulay Consulting,"Answers to common questions about how Caroline Macaulay works, what engagements involve, and whether the practice is right for your organisation.",https://consultcm.com.au/faq,2026-05-16,og:image not yet set. Title 50 chars; description 147 chars.
/contact,contact.html,Contact | Macaulay Consulting Brisbane,"Get in touch with Caroline Macaulay to discuss how Macaulay Consulting can help your organisation. Call, email or send a message. Based in Brisbane, Queensland.",Contact | Macaulay Consulting Brisbane,"Every engagement begins with a no-obligation call. Get in touch with Caroline Macaulay.",https://consultcm.com.au/contact,2026-05-14,og:image not yet set. Title 38 chars; description 161 chars.
/visual-identity,visual-identity.html,Visual Identity | Macaulay Consulting,,,,,2026-05-14,Internal page — noindex. No description or OG tags needed.
/status,status/index.html,Site Status | Macaulay Consulting,,,,,2026-05-14,Internal page — noindex. No description or OG tags needed.
